timestamp,etat_machine,vibration_x,vibration_y,vibration_z
2025-06-03 23:35:24,en_marche,0.48,1.18,0.81
2025-06-03 23:36:24,en_marche,0.62,1.07,0.95
2025-06-03 23:37:24,en_marche,0.64,0.28,0.37
2025-06-03 23:38:24,en_marche,0.78,0.69,0.77
2025-06-03 23:39:24,en_marche,0.73,0.87,1.49
2025-06-03 23:40:24,en_marche,1.07,1.08,0.63
2025-06-03 23:41:24,en_marche,0.52,0.54,0.37
2025-06-03 23:42:24,en_marche,0.19,0.65,0.77
2025-06-03 23:43:24,en_marche,1.42,0.79,0.92
2025-06-03 23:44:24,en_marche,1.18,0.56,0.65
2025-06-03 23:45:24,en_marche,0.78,1.17,0.88
2025-06-03 23:46:24,en_marche,0.56,0.32,1.36
2025-06-03 23:47:24,en_marche,0.96,0.59,1.04
2025-06-03 23:48:24,en_marche,0.34,1.1,0.68
2025-06-03 23:49:24,en_marche,0.97,0.89,1.01
2025-06-03 23:50:24,en_marche,0.63,0.49,0.82
2025-06-03 23:51:24,en_marche,0.89,0.8,0.68
2025-06-03 23:52:24,en_marche,1.45,0.61,0.45
2025-06-03 23:53:24,en_marche,1.26,0.51,1.09
2025-06-03 23:54:24,en_marche,0.75,0.56,1.05
2025-06-03 23:55:24,en_marche,0.59,0.72,0.68
2025-06-03 23:56:24,en_marche,0.78,0.67,0.89
2025-06-03 23:57:24,en_marche,1.07,0.79,0.4
2025-06-03 23:58:24,en_marche,0.65,0.89,0.6
2025-06-03 23:59:24,en_marche,1.2,0.82,0.91
2025-06-04 00:00:24,en_marche,0.77,0.98,1.04
2025-06-04 00:01:24,en_marche,0.87,1.02,0.75
2025-06-04 00:02:24,en_marche,0.87,0.83,0.68
2025-06-04 00:03:24,en_marche,0.73,0.86,1.22
2025-06-04 00:04:24,en_marche,1.31,0.54,0.61
2025-06-04 00:05:24,en_marche,0.66,0.83,0.79
2025-06-04 00:06:24,en_marche,0.84,0.63,1.03
2025-06-04 00:07:24,en_marche,0.65,0.62,0.31
2025-06-04 00:08:24,en_marche,0.64,0.76,0.59
2025-06-04 00:09:24,en_marche,0.58,0.5,0.77
2025-06-04 00:10:24,en_marche,0.82,0.8,0.98
